Pullach; korrigiert
Waghäusel; 49.245006 8.510063;

München-Freiham; korrigiert
Mannheim; 49.48758 8.481046;

Arnsberg; korrigiert
Weinheim; 49.53062084863661 8.641849987829817;

Oberhaching-Laufzorn / Grünwald; korrigiert
Weinheim-Süd; 49.533471 8.642011;

Poing;49.60101729555329 8.471756006871416; korrigiert

Erding; 49.60101729555329 8.471756006871416; korrigiert

Lampertheim I; 49.60101729555329 8.471756006871416; noch offen?
Lampertheim II; 49.60101729555329 8.471756006871416; noch offen?

München-Riem;49.67228189268898 8.547702641322267; korrigiert
Einhausen "Jägersburg"; 49.67228189268898 8.547702641322267;

Holzkirchen;50.10978686925627 8.67630782564379; korrigiert
Frankfurt am Main; 50.10978686925627 8.67630782564379;

Neuruppin;52.92971670587752 12.830142096367828; 
Neuruppin; 52.92971670587752 12.830142096367828; in bau gelöscht

Unterföhring;48.1934 11.6581; 
Unterföhring (2. Dublette); 48.1942 11.6583; idk??

Aachen-Weisweiler ;48.84745290090928 8.755696250173637; korrigiert, gibt zwei froschung und in bau??
Käfersteige; 48.84745290090928 8.755696250173637;

Geretsried;48.8553759312248 8.216217721538355; korrigiert
Römerbad; 48.8553759312248 8.216217721538355;

Graben-Neudorf;49.403157 8.585578; korrigiert
Hardt; 49.403157 8.585578;

Alsdorf;47.61564095130721 7.673259143632073; korrigiert
Lörrach; 47.61564095130721 7.673259143632073;

HDR Bad Urach;48.506939814788055 9.374128244187277; 
„Jarovit“ in Wolgast; 48.506939814788055 9.374128244187277; korrigiert

Karlsruhe-Süd II;48.91536918096234 8.31064515681801; 
Aachen (Kreuz Aachen); 48.91536918096234 8.31064515681801; korrigiert

Karlsruhe-Rheinhafen;49.016201950224314 8.327734833401703; 
Aachen - GEObservatorium; 49.016201950224314 8.327734833401703; korrigiert

KIT Campus Nord II;49.09850756202273 8.431781797071968; 
Aachen-Weisweiler; 49.09850756202273 8.431781797071968; korrigiert

Karlsdorf III;49.13612 8.5435; 
„Vineta“ in Zinnowitz; 49.13612 8.5435; korrigiert


Luftbrücke;50.03875103357532 8.596442092659883; 
Erfurt; 50.03875103357532 8.596442092659883; korrigiert
