Status;Name;Bundesland;Art der Nutzung;Mwtherm (installierte Leistung geothermisch);MWel;max. Temperatur in °C;Teufe in m (TVD);Förderrate (l/s) (maximal);Jahresproduktion geothermische Wärme GWh/a;Jahresproduktion geothermischer Strom GWh/a;Jahr d. Inbetrieb-nahme;Entwicklung/ Aufsuchungserlaubnis;Output;Anzahl der Bohrungen;Hauptnutzung;Nebennutzung;Reservoir ;Betreiberstruktur;Region;News zu Projekten;Betreiber Name;Zusatzinfos;;;
A_Projekt in Betrieb;Bruchsal;Baden-Württemberg;Hydrogeothermie;1,2;0,5;131;2.542;31;2,3;;2009;2019 Nahwärmenetz;Wärme & Strom;Dublette;Strom;Nahwärmenetz;;privater Investor;Oberrheingraben;;;;;;
A_Projekt in Betrieb;Pfullendorf;Baden-Württemberg;Hydrogeothermie;;;75;1.530;25;;;2020;;Wärme;Dublette;1 Kaserne wird beheizt;;Dolomit;Bund ;Molassebecken;;;;;;
A_Projekt in Betrieb;Weinheim;Baden-Württemberg;Hydrogeothermie;1,1;;65;1.150;10;5,65;;2005;;Wärme;;Gebäudeheizung für 1 Gebäude, Sole für Therme;;;;Oberrheingraben;;;;;;
A_Projekt in Betrieb;Aschheim, Feldkirchen, Kirchheim;Bayern;Hydrogeothermie;12,4;;87,1;2.630;84,7;70,098;;2009;;Wärme;Dublette;Fernwärme;;Kalksandstein;kommunal;Molassebecken;;AFK Geothermie GmbH;2. Dublette geplant;;;
A_Projekt in Betrieb;Dürrnhaar;Bayern;Hydrogeothermie;;5,5;141;3.926;133;;31,3;2012;;Strom;Dublette;Strom;;Kalkstein, dolomit.;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;Erding;Bayern;Hydrogeothermie;10,2;;65;2.218;48;33,074;;1998;2008 Reinjektionsbohrung, 2009 Inbetriebnahme Heizwerk 2;Wärme;Dublette;Fernwärme;Balneologie;;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;Garching a.d. Alz ;Bayern;Hydrogeothermie;7;5,2;125;3.837;125;;24,45;2021;;Wärme & Strom;Dublette;Strom;Fernwärme;;privater Investor;Molassebecken;https://bruck.silenos-energy.com/databases/internet/_public/content30.nsf/web30?Openagent&id=96F6FA72066B984FC12587C70034B4F1;;;;;
A_Projekt in Betrieb;Garching bei München;Bayern;Hydrogeothermie;9,8;;75;2226,3;100;46,62;;2011;;Wärme;Dublette;Fernwärme;;Kalkstein;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;Holzkirchen;Bayern;Hydrogeothermie;5;3,6;157;5.078;65;12,253;21,624;2019;2019 ORC-Anlage liefert Strom -> Heizkraftwerk;Wärme & Strom;Dublette;Fernwärme;Strom;Kalkstein, dolomit.;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;Ismaning;Bayern;Hydrogeothermie;7,2;;78;1.906;85;46,8;;2013;;Wärme;Dublette;Fernwärme;;;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;Kirchstockach;Bayern;Hydrogeothermie;10;5,5;125;3881,6;140,5;13,4;24,5;2013;2021 durch Wärmeauskopplung -> Heizkraftwerk;Wärme & Strom;Dublette;Strom;Fernwärme;Kalkstein, dolomit.;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;Kirchweidach;Bayern;Hydrogeothermie;30,6;4,4;128;3.421;80;95;;2013;2021 geplante Erweiterung der Stromproduktion durch ORC-Anlage, zurzeit unklar, ob es die Erweiterung stattgefunden hat, Bohrungen gestartet (Jan 2023);Wärme & Strom;Dublette;Fernwärme;Gewächshaus;;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;München-Freiham;Bayern;Hydrogeothermie;13;;91,9;2517,8;121;100,1;;2016 ;;Wärme;Dublette;Fernwärme;;Karbonat;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;München-Riem;Bayern;Hydrogeothermie;13;;98,4;2.747;87;60,76;;2004;;Wärme;Dublette;Fernwärme;;;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;Oberhaching-Laufzorn / Grünwald;Bayern;Hydrogeothermie;40;4,3;135;3755,2;132;61,619;13,345;2011;2014 ORC-Anlage liefert Strom -> Heizkraftwerk;Wärme & Strom;Dublette;Fernwärme;Strom;Kalkstein, dolomit.;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;Poing;Bayern;Hydrogeothermie;11,5;;85;3.014;100;50,9;;2012;;Wärme;Dublette;Fernwärme;;;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;Pullach;Bayern;Hydrogeothermie;16;;108;3.443;87;59,274;;2005;2011 weitere Bohrung zur bestehenden Dublette hinzugefügt  ;Wärme;Triplette;Fernwärme;;Kalke und Dolomite;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;Sauerlach;Bayern;Hydrogeothermie;4;5;141;4.480;120;9,9;25,6;2013;;Wärme & Strom;Triplette;Strom;Fernwärme;;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;Simbach-Braunau;Bayern;Hydrogeothermie;9,4;;81,7;1.942;90;50,732;;2000;;Wärme;Dublette;Fernwärme;;;kommunal;Molassebecken;;;GER + AUT Gemeinschaftsprojekt;;;
