Name,properties.title,type,geometry.type,geometry.coordinates,properties.use,properties.state,properties.attributes,properties.details.Ptherm,properties.details.Pel,properties.details.Tmax,properties.details.Teufe,properties.details.Förderrate,properties.details.Inbetriebnahme,best_match_name,Status,Bundesland,Art der Nutzung,Mwtherm (installierte Leistung geothermisch),MWel,max. Temperatur in °C,Teufe in m (TVD),Förderrate (l/s) (maximal),Jahresproduktion geothermische Wärme GWh/a,Jahresproduktion geothermischer Strom GWh/a,Jahr d. Inbetrieb-nahme,Entwicklung/ Aufsuchungserlaubnis,Output,Anzahl der Bohrungen,Hauptnutzung,Nebennutzung,Reservoir ,Betreiberstruktur,Region,News zu Projekten,Betreiber Name,Zusatzinfos
Bochum Werne / Zeche Robert Müser,Bochum Zeche Robert Müser,Feature,Point,"[7.299821269358382, 51.48659342746747]",['Gebäudeheizung'],Betrieb,[],"0,4 MW",0 MW,20 °C,570 m,32 l/s,kein Eintrag,Bochum Werne / Zeche Robert Müser,A_Projekt in Betrieb,Nordrhein-Westfalen,Grubenwasser,0.4,,20,570,32,1.2,,2012,,Wärme,Grubenwasser,Gebäudeheizung von Feuerwehr und 2 Schulen mit Hilfe von BHKW und WP -> Nahwärme?,,,kommunal,,,,
Bruchsal,Bruchsal,Feature,Point,"[8.567386584802927, 49.12572989419394]",['Stromerzeugung'],Betrieb,[],"1,2 MW",0 MW,131 °C,2450 m,31 l/s,kein Eintrag,Bruchsal,A_Projekt in Betrieb,Baden-Württemberg,Hydrogeothermie,"1,2","0,5",131,2542,31,"2,3",,2009,2019 Nahwärmenetz,Wärme & Strom,Dublette,Strom,Nahwärmenetz,,privater Investor,Oberrheingraben,,,
Dürrnhaar,Dürrnhaar,Feature,Point,"[11.726130891461885, 47.996250100846254]",['Stromerzeugung'],Betrieb,[],unavailable MW,0 MW,141 °C,3241 m,133 l/s,kein Eintrag,Dürrnhaar,A_Projekt in Betrieb,Bayern,Hydrogeothermie,,"5,5",141,3926,133,,"31,2",2012,,Strom,Dublette,Strom,,"Kalkstein, dolomit.",kommunal,Molassebecken,,,
Erding,Erding,Feature,Point,"[11.886350402690871, 48.289792213335524]",['Fernwärme'],Betrieb,[],"10,2 MW",0 MW,65 °C,2240 m,48 l/s,kein Eintrag,Erding,A_Projekt in Betrieb,Bayern,Hydrogeothermie,"10,2",,65,2218,48,"26,35",,1998,"2008 Reinjektionsbohrung, 2009 Inbetriebnahme Heizwerk 2",Wärme,Dublette,Fernwärme,Balneologie,,kommunal,Molassebecken,,,
München-Freiham,Freiham,Feature,Point,"[11.405109198641737, 48.138511875824356]",['Fernwärme'],Betrieb,[],13 MW,0 MW,"91,87 °C","2517,8 m",121 l/s,kein Eintrag,München-Freiham,A_Projekt in Betrieb,Bayern,Hydrogeothermie,13,,"91,9","2517,8",121,"99,77",,2016,,Wärme,Dublette,Fernwärme,,Karbonat,kommunal,Molassebecken,,,
Garching a.d. Alz ,Garching a. d. Alz,Feature,Point,"[12.571571887105844, 48.11868935553278]",['Stromerzeugung'],Betrieb,[],"6,88 MW",0 MW,125 °C,unavailable,125 l/s,kein Eintrag,Garching a.d. Alz ,A_Projekt in Betrieb,Bayern,Hydrogeothermie,7,"5,2",125,3837,125,,"27,5",2021,,Wärme & Strom,Dublette,Strom,Fernwärme,,privater Investor,Molassebecken,https://bruck.silenos-energy.com/databases/internet/_public/content30.nsf/web30?Openagent&id=96F6FA72066B984FC12587C70034B4F1,,
Geretsried,Geretsried,Feature,Point,"[11.434471292527942, 47.8710290510463]",['Forschung'],Aktiv,[],unavailable MW,0 MW,"155,3 °C",unavailable,5 l/s,kein Eintrag,Geretsried,B_Projekt in Bau,Bayern,Geschlossenes tiefengeothermisches System,,,"155,3",4736,5,,,,,,,,Dolomit,,privater Investor,Molassebecken,,,Eavor-Loop
Groß Schönebeck,Groß Schönebeck,Feature,Point,"[13.601612176917618, 52.90381696285989]",['Forschung'],Aktiv,[],unavailable MW,0 MW,150 °C,"4309,1 m",unavailable,kein Eintrag,Groß Schönebeck,C_Forschungsprojekte ,Brandenburg,Forschung,,1,150,4309,,,,2011,,,,,,,,Nord.Becken,,,
Oberhaching-Laufzorn / Grünwald,Grünwald (Laufzorn),Feature,Point,"[11.562880508759404, 48.01998864023229]",['Fernwärme'],Betrieb,[],40 MW,0 MW,135 °C,"3755,2 m",132 l/s,kein Eintrag,Oberhaching-Laufzorn / Grünwald,A_Projekt in Betrieb,Bayern,Hydrogeothermie,40,"4,3",135,"3755,2",132,"49,35","18,03",2011,2014 ORC-Anlage liefert Strom -> Heizkraftwerk,Wärme & Strom,Dublette,Fernwärme,Strom,"Kalkstein, dolomit.",kommunal,Molassebecken,,,
Hannover,Hannover (GeneSys),Feature,Point,"[9.826339230222407, 52.40538249243043]",['Forschung'],Inaktiv,[],2 MW,0 MW,169 °C,3820 m,unavailable,kein Eintrag,Hannover,C_Forschungsprojekte ,Niedersachsen,Forschung,2,,169,3820,,,,,,,,,,,,Nord.Becken,,,
Holzkirchen,Holzkirchen,Feature,Point,"[11.719357321494547, 47.88189030335666]",['Fernwärme'],Betrieb,[],5 MW,0 MW,157 °C,5078 m,65 l/s,kein Eintrag,Holzkirchen,A_Projekt in Betrieb,Bayern,Hydrogeothermie,5,"3,6",157,,65,"3,8","22,97",2019,2019 ORC-Anlage liefert Strom -> Heizkraftwerk,Wärme & Strom,Dublette,Fernwärme,Strom,"Kalkstein, dolomit.",kommunal,Molassebecken,,,
Horstberg,Horstberg,Feature,Point,"[10.328054251558454, 52.90333311324816]",['Forschung'],Aktiv,[],unavailable MW,0 MW,159 °C,3920 m,unavailable,kein Eintrag,Horstberg,C_Forschungsprojekte ,Niedersachsen,Forschung,,,159,3920,,,,,,,,,,,,Nord.Becken,,,
Insheim,Insheim,Feature,Point,"[8.153275626628721, 49.15363259926349]",['Stromerzeugung'],Betrieb,[],unavailable MW,0 MW,165 °C,unavailable,80 l/s,kein Eintrag,Insheim,A_Projekt in Betrieb,Rheinland-Pfalz,Hydrogeothermie,,"4,8",165,3600,80,,21,2012,,Strom,Dublette,Strom,,,privater Investor,Oberrheingraben,,,für spätere Auflagen: 2023 Anfang Ausbau Fernwärmenetz geplant
Ismaning,Ismaning,Feature,Point,"[11.697420933442515, 48.22970537486774]",['Fernwärme'],Betrieb,[],"7,2 MW",0 MW,78 °C,unavailable,85 l/s,kein Eintrag,Ismaning,A_Projekt in Betrieb,Bayern,Hydrogeothermie,"7,2",,78,1906,85,"48,26",,2013,,Wärme,Dublette,Fernwärme,,,kommunal,Molassebecken,,,
Karlshagen-Usedom,Karlshagen / Usedom,Feature,Point,"[13.820448786061359, 54.115763163517606]",['Gebäudeheizung'],Bau,[],unavailable MW,0 MW,57 °C,1788 m,28 l/s,kein Eintrag,Karlshagen-Usedom,D_Projekt in Planung,Mecklenburg-Vorpommern,Hydrogeothermie,,,,,,,,,,,,,,,,Nord.Becken,https://www.geothermie-karlshagen.de/,,
Kirchstockach,Kirchstockach,Feature,Point,"[11.687849845382795, 48.02701510509703]",['Stromerzeugung'],Betrieb,[],10 MW,0 MW,141 °C,3649 m,"140,5 l/s",kein Eintrag,Kirchstockach,A_Projekt in Betrieb,Bayern,Hydrogeothermie,10,"5,5",125,"3881,6","140,5",2,"23,5",2013,2021 durch Wärmeauskopplung -> Heizkraftwerk,Wärme & Strom,Dublette,Strom,Fernwärme,"Kalkstein, dolomit.",kommunal,Molassebecken,,,
Kirchweidach,Kirchweidach,Feature,Point,"[12.645622608546594, 48.09957536362663]",['Fernwärme'],Betrieb,[],"30,6 MW",0 MW,127 °C,unavailable,80 l/s,kein Eintrag,Kirchweidach,A_Projekt in Betrieb,Bayern,Hydrogeothermie,"30,6","4,4",127,3421,80,"96,4","1,8",2013,"2021 geplante Erweiterung der Stromproduktion durch ORC-Anlage, zurzeit unklar, ob es die Erweiterung stattgefunden hat, Bohrungen gestartet (Jan 2023)",Wärme & Strom,Dublette,Fernwärme,Gewächshaus,,kommunal,Molassebecken,,,
Mauerstetten,Mauerstetten (Allgäu),Feature,Point,"[10.654513269806042, 47.88280454097704]",['Forschung'],Inaktiv,[],unavailable MW,0 MW,130 °C,4080 m,unavailable,kein Eintrag,Mauerstetten,C_Forschungsprojekte ,Bayern,Forschung,,,130,4080,,,,,,,,,,,,Molassebecken,,,
München-Riem,München Riem,Feature,Point,"[11.716111846935974, 48.134697803069514]",['Fernwärme'],Betrieb,[],13 MW,0 MW,"98,4 °C",2747 m,87 l/s,kein Eintrag,München-Riem,A_Projekt in Betrieb,Bayern,Hydrogeothermie,13,,"98,4",2747,87,"79,96",,2004,,Wärme,Dublette,Fernwärme,,,kommunal,Molassebecken,,,
Neubrandenburg,Neubrandenburg,Feature,Point,"[13.235606820955386, 53.549095553624845]",['Aquiferspeicher'],Betrieb,[],unavailable MW,0 MW,80 °C,1268 m,28 l/s,kein Eintrag,Neubrandenburg,B_Projekt in Bau,Mecklenburg-Vorpommern,Hydrogeothermie / Aquiferspeicher,,,80,1268,28,,,1987,2004 Fertigstellung Aquiferspeicher,Wärme,Dublette,Speicher,,O.Keuper (Rhaet),kommunal,Nord.Becken,https://www.neu-sw.de/pressemeldungen/waerme-aus-der-erde-neu-sw-baut-aquiferspeicher-zu-tiefengeothermie-anlage-um,,
Neuruppin,Neuruppin,Feature,Point,"[12.830142096367828, 52.92971670587752]",['Gebäudeheizung'],Betrieb,[],"1,4 MW",0 MW,"63,4 °C",1675 m,"3,9 l/s",kein Eintrag,Neuruppin,A_Projekt in Betrieb,Brandenburg,Hydrogeothermie,"1,4",,"63,4",1702,"3,9","1,09",,2007,,Wärme,Dublette,Gebäudeheizung (Hotelkomplex und Bad),Balneologie,Feinsandstein,kommunal,Nord.Becken,,,
Neuruppin,Neuruppin,Feature,Point,"[12.830142096367828, 52.92971670587752]",['Gebäudeheizung'],Betrieb,[],"1,4 MW",0 MW,"63,4 °C",1675 m,"3,9 l/s",kein Eintrag,Neuruppin,B_Projekt in Bau,Brandenburg,Hydrogeothermie,,,,,,,,,,,,,,,,,https://www.geothermie.de/aktuelles/nachrichten/news-anzeigen/bohrung-in-neuruppin-erreicht-500-meter-marke?tx_news_pi1%5BactbackPid%5D=137&cHash=45cea28bc5612327cf7aba755f33c620,,
Neustadt Glewe,Neustadt-Glewe,Feature,Point,"[11.58624277017484, 53.370086444791845]",['Fernwärme'],Betrieb,[],4 MW,0 MW,99 °C,2450 m,35 l/s,kein Eintrag,Neustadt Glewe,A_Projekt in Betrieb,Mecklenburg-Vorpommern,Hydrogeothermie,4,,99,2450,35,"16,03",,1994,bis 2012 Stromerzeugung mit ORC-Anlage,Wärme,Dublette,Fernwärme,,O.Keuper (Rhaet),kommunal,Nord.Becken,,,
