Status;Name;Koordinaten;Koordinaten Quelle;Bundesland;Art der Nutzung;Mwtherm (installierte Leistung geothermisch);MWel;max. Temperatur;Teufe in m (TVD);Forderrate (l/s) (maximal);Jahresproduktion geothermische Wärme GWh/a;Jahresproduktion geothermischer Strom GWh/a;Jahr d. Inbetrieb-nahme;Entwicklung/ Aufsuchungserlaubnis;Output;Anzahl der Bohrungen;Hauptnutzung;Nebennutzung;Reservoir ;Betreiberstruktur;Region;News zu Projekten;Betreiber Name;Zusatzinfos
C_Forschungsprojekte ;Bad Urach;48.50699119661484, 9.373306303211436;geotis;Baden-Württemberg;Hot-Dry-Rock;;;;;;;;;;;;;;;;;;;
A_Projekt in Betrieb;Bruchsal;49.12572989419394, 8.567386584802927;geotis;Baden-Württemberg;Hydrogeothermie;1,2;0,5;131;2.542;31;2,3;;2009;2019 Nahwärmenetz;Wärme & Strom;Dublette;Strom;Nahwärmenetz;;privater Investor;Oberrheingraben;;;
A_Projekt in Betrieb;Pfullendorf;47.90513081785821, 9.25284896542634;geotis;Baden-Württemberg;Hydrogeothermie;;;75;1.530;25;;;2020;;Wärme;Dublette;1 Kaserne wird beheizt;;Dolomit;Bund ;Molassebecken;;;
A_Projekt in Betrieb;Weinheim;49.53062084863661, 8.641849987829817;geotis;Baden-Württemberg;Hydrogeothermie;1,1;;65;1.150;10;5,65;;2005;;Wärme;;Gebäudeheizung für 1 Gebäude, Sole für Therme;;;;Oberrheingraben;;;
D_Projekt in Planung;Bad Waldsee II;47.937327137989136, 9.76827528859064;https://maps.lgrb-bw.de/?view=lgrb_berechtsamskarte;Baden-Württemberg;Hydrogeothermie;;;;;;;;;31.12.2027;;;;;;kommunal;Molassebecken;;Stadtwerke Bad Waldsee GmbHHauptstraße 2988339 Bad Waldsee;
D_Projekt in Planung;Biberach a.d.Riß.;48.09499347012828, 9.804962184230536;;Baden-Württemberg;Hydrogeothermie;;;;;;;;;30.09.2028;;;;;;;;;;
D_Projekt in Planung;"Dettenheim ""Erlich""";49.171949, 8.478003;;Baden-Württemberg;Hydrogeothermie;;;;;;;;;28.02.2025;;;;;;privater Investor;Oberrheingraben;;Deutsche ErdWärme GmbHMarktplatz 382031 Grünwald;
D_Projekt in Planung;Freiburg;47.99960018294129, 7.845158777389785;;Baden-Württemberg;Hydrogeothermie;;;;;;;;;30.04.2024;;;;;;privater Investor;Oberrheingraben;;badenova WärmePlus GmbH & Co. KGTullastraße 6179108 Freiburg;
D_Projekt in Planung;Hardt;49.403157, 8.585578;;Baden-Württemberg;Hydrogeothermie;;;;;;;;;31.03.2026;;;;;;privater Investor;Oberrheingraben;https://www.rnf.de/mediathek/video/geothermie-die-suche-nach-heissem-wasser-in-3500-metern-tiefe/;GeoHardt GmbHScheffelstraße 1668723 Schwetzingen;Gehört zu EnBW, (Kölbel)
D_Projekt in Planung;"Pforzheim ""Käfersteige""";48.84745290090928, 8.755696250173637;;Baden-Württemberg;Hydrogeothermie;;;;;;;;;31.07.2026;;;;;;;;;;
