Status;Name;fomat (coords);Genauigkeit (A=genau auf anlage, R= Region, f=feld);Koordinaten;Bundesland;Art der Nutzung;Mwtherm (installierte Leistung geothermisch);MWel;max. Temperatur;Teufe in m (TVD);Forderrate (l/s) (maximal);Jahresproduktion geothermische Wärme GWh/a;Jahresproduktion geothermischer Strom GWh/a;Jahr d. Inbetrieb-nahme;Entwicklung/ Aufsuchungserlaubnis;Output;Anzahl der Bohrungen;Hauptnutzung;Nebennutzung;Reservoir ;Betreiberstruktur;Region;News zu Projekten;Betreiber Name;Zusatzinfos;;;
A_Projekt in Betrieb;Pfullendorf;;;47.90513081785821, 9.25284896542634;Baden-Württemberg;Hydrogeothermie;;;75;1.530;25;;;2020;;Wärme;Dublette;1 Kaserne wird beheizt;;Dolomit;Bund ;Molassebecken;;;;;;
A_Projekt in Betrieb;Sauerlach;;;47.97278162324089, 11.668797058077113;Bayern;Hydrogeothermie;4;5;141;4.480;110;11,9;26,4;2013;;Wärme & Strom;Triplette;Strom;Fernwärme;;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;Traunreut;;;47.973032611148284, 12.579492009460596;Bayern;Hydrogeothermie;13,5;5,5;120;4645,8;168,6;34,3;27,6;2014;2016 Fertigstellung einer ORC-Anlage -> Heizkraftwerk;Wärme & Strom;Dublette;Fernwärme;Strom;;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;Dürrnhaar;;;47.992816950868864, 11.735375108696338;Bayern;Hydrogeothermie;;5,5;141;3.926;133;;31,2;2012;;Strom;Dublette;Strom;;Kalkstein, dolomit.;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;Taufkirchen/Oberhaching;;;48.02347753735028, 11.620680194130214;Bayern;Hydrogeothermie;40;0;136;3.696;120;101;;2015;;Wärme;Dublette;Strom: Die Kalina Anlage (errichtet 2018) wurde abgebaut, 2024 soll die neue ORC-Anlage in Betrieb gehen. Deshalb zur Zeit 0;Fernwärme;;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;Kirchstockach;;;48.02701510509703, 11.687849845382795;Bayern;Hydrogeothermie;10;5,5;125;3881,6;140,5;2;23,5;2013;2021 durch Wärmeauskopplung -> Heizkraftwerk;Wärme & Strom;Dublette;Strom;Fernwärme;Kalkstein, dolomit.;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;Unterhaching;;;48.05707719867894, 11.597498830573379;Bayern;Hydrogeothermie;38;;126;3.350;140;183,7;;2007;2009-2017 Stromproduktion durch Kalina-Anlage;Wärme;Dublette;Fernwärme;;;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;Kirchweidach;;;48.09957536362663, 12.645622608546594;Bayern;Hydrogeothermie;30,6;4,4;127;3.421;80;96,4;1,8;2013;2021 geplante Erweiterung der Stromproduktion durch ORC-Anlage, zurzeit unklar, ob es die Erweiterung stattgefunden hat, Bohrungen gestartet (Jan 2023);Wärme & Strom;Dublette;Fernwärme;Gewächshaus;;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;Garching a.d. Alz ;;;48.11868935553278, 12.571571887105844;Bayern;Hydrogeothermie;7;5,2;125;3.837;125;;27,5;2021;;Wärme & Strom;Dublette;Strom;Fernwärme;;privater Investor;Molassebecken;https://bruck.silenos-energy.com/databases/internet/_public/content30.nsf/web30?Openagent&id=96F6FA72066B984FC12587C70034B4F1;;;;;
A_Projekt in Betrieb;Waldkraiburg;;;48.20130287457706, 12.420294318053308;Bayern;Hydrogeothermie;14;;111,5;2.718;80;41;;2012;;Wärme;Dublette;Fernwärme;;;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;Ismaning;;;48.22970537486774, 11.697420933442515;Bayern;Hydrogeothermie;7,2;;78;1.906;85;48,26;;2013;;Wärme;Dublette;Fernwärme;;;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;Simbach-Braunau;;;48.257066211392576, 13.010321196103183;Bayern;Hydrogeothermie;9,4;;81,7;1.942;90;46,94;;2000;;Wärme;Dublette;Fernwärme;;;kommunal;Molassebecken;;;GER + AUT Gemeinschaftsprojekt;;;
A_Projekt in Betrieb;Unterschleißheim;;;48.27229792099072, 11.580536621795996;Bayern;Hydrogeothermie;7;;80;1.960;100;40,2;;2003;;Wärme;Dublette;Fernwärme;Balneologie;Kalkstein;privater Investor;Molassebecken;;;;;;
A_Projekt in Betrieb;Straubing;;;48.875263721244984, 12.555202373991184;Bayern;Hydrogeothermie;2,1;;36,5;824,8;31,4;2,9;;1999;;Wärme;Dublette;2 Nahwärmenetze;Balneologie;Kalkstein, dolomit.;kommunal;Molassebecken;GeotIS fragt es nicht mehr ab, da sie nicht antworten;;;;;
A_Projekt in Betrieb;Insheim;;;49.15363259926349, 8.153275626628721;Rheinland-Pfalz;Hydrogeothermie;;4,8;165;3.600;80;;21;2012;;Strom;Dublette;Strom;;;privater Investor;Oberrheingraben;;;für spätere Auflagen: 2023 Anfang Ausbau Fernwärmenetz geplant;;;
A_Projekt in Betrieb;Bruchsal;;;49.171949, 8.478003;Baden-Württemberg;Hydrogeothermie;1,2;0,5;131;2.542;31;2,3;;2009;2019 Nahwärmenetz;Wärme & Strom;Dublette;Strom;Nahwärmenetz;;privater Investor;Oberrheingraben;;;;;;
A_Projekt in Betrieb;Pullach;;;49.245006, 8.510063;Bayern;Hydrogeothermie;16,5;;109;3.443;93;70;;2005;2011 weitere Bohrung zur bestehenden Dublette hinzugefügt  ;Wärme;Triplette;Fernwärme;;Kalke und Dolomite;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;"Kaiserslautern ""WIPOTEC""";;;49.42149575317556, 7.637398900714602;Rheinland-Pfalz;Sonde;;;52;1450;;;;2015;;Wärme;;;;;privater Investor;;;;Quelle der Daten: https://www.tsb-energie.de/fileadmin/Redakteure/Veranstaltungen/Gebaeudeenergie/2021/Referentenbeitraege/Otto_Reisig.pdf;;;
A_Projekt in Betrieb;München-Freiham;;;49.487580, 8.481046;Bayern;Hydrogeothermie;13;;91,9;2517,8;121;99,77;;2016 ;;Wärme;Dublette;Fernwärme;;Karbonat;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;Arnsberg;m;a;49.53062084863661, 8.641849987829817;Nordrhein-Westfalen;Sonde;0,35;;90;2.835;20;2,1;;2012;;Wärme;Tiefe Erdwärmesonde;"Gebäudeheizung vom Freibad ""Nass""";;Sandstein;kommunal;;;;;;;
A_Projekt in Betrieb;Weinheim;;;49.53062084863661, 8.641849987829817;Baden-Württemberg;Hydrogeothermie;1,1;;65;1.150;10;5,65;;2005;;Wärme;;Gebäudeheizung für 1 Gebäude, Sole für Therme;;;;Oberrheingraben;;;;;;
A_Projekt in Betrieb;Oberhaching-Laufzorn / Grünwald;;;49.533471, 8.642011;Bayern;Hydrogeothermie;40;4,3;135;3755,2;132;49,35;18,03;2011;2014 ORC-Anlage liefert Strom -> Heizkraftwerk;Wärme & Strom;Dublette;Fernwärme;Strom;Kalkstein, dolomit.;kommunal;Molassebecken;;;;;;
